"Selected Filters: All States | FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)"
""
"Total Funding: $1,316,374,135"
"Number of Grants: 1,387"

"Grantee Name","Grant Number","Program Name","City","State","ZIP Code","County","Congressional District","Award Fiscal Year","Award Funding"
"Coastal Community Health Services, Inc.","H8DCS36148","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Brunswick","GA","31525-0511","Glynn","GA-01","2020","$693,305"
"Coastal Family Health Center, Inc.","H8DCS36099","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Biloxi","MS","39530-2935","Harrison","MS-04","2020","$1,445,165"
"Coastal Health & Wellness","H8DCS36474","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Texas City","TX","77591-2000","Galveston","TX-14","2020","$971,360"
"Coastal Health Alliance","H8DCS35568","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Point Reyes Station","CA","94956","Marin","CA-02","2020","$587,960"
"Codman Square Health Center, Inc","H8DCS35480","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Boston","MA","02124-3510","Suffolk","MA-07","2020","$919,250"
"Collier Health Services, Inc.","H8DCS36014","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Immokalee","FL","34142-2200","Collier","FL-25","2020","$1,665,680"
"Colorado Coalition For The Homeless, The","H8DCS35900","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Denver","CO","80205-2529","Denver","CO-01","2020","$791,120"
"Columbia Basin Health Association","H8DCS36718","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Othello","WA","99344-1846","Adams","WA-04","2020","$1,325,360"
"Columbia River Community Health Services","H8DCS35699","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Boardman","OR","97818-8076","Morrow","OR-02","2020","$600,230"
"Columbia Valley Community Health","H8DCS36723","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Wenatchee","WA","98801-2800","Chelan","WA-08","2020","$1,213,985"
"Columbus Neighborhood Health Center, Inc.","H8DCS36696","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Columbus","OH","43219-2289","Franklin","OH-03","2020","$1,703,255"
"Comanche County Hospital Authority","H8DCS35544","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lawton","OK","73505-6332","Comanche","OK-04","2020","$923,825"
"Common Ground Health Clinic","H8DCS35749","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Gretna","LA","70056-7723","Jefferson","LA-02","2020","$534,125"
"Communicare Health Centers","H8DCS35626","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Davis","CA","95616-9701","Yolo","CA-03","2020","$1,145,150"
"Community Action Agency Of Columbiana County, Inc.","H8DCS36663","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lisbon","OH","44432-8322","Columbiana","OH-06","2020","$745,205"
"Community Action Committee Of Pike County, The","H8DCS36690","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Piketon","OH","45661-9757","Pike","OH-02","2020","$765,200"
"Community Action Corporation Of South Texas","H8DCS36486","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Alice","TX","78332-4822","Jim Wells","TX-34","2020","$867,650"
"Community Action Of Laramie County Inc","H8DCS35862","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Cheyenne","WY","82001-4433","Laramie","WY-00","2020","$533,300"
"Community Action Partnership Of Western Nebraska","H8DCS35892","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Gering","NE","69341-1724","Scotts Bluff","NE-03","2020","$703,610"
"Community And Rural Health Services","H8DCS36682","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Fremont","OH","43420-2632","Sandusky","OH-04","2020","$751,370"
"Community Care Of West Virginia, Inc.","H8DCS35848","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Rock Cave","WV","26234-5890","Upshur","WV-02","2020","$1,194,695"
"Community Clinic Of Maui, Inc.","H8DCS36102","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Wailuku","HI","96793-1811","Maui","HI-02","2020","$740,615"
"Community Clinic, Inc., The","H8DCS36324","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Silver Spring","MD","20910-3808","Montgomery","MD-08","2020","$1,354,970"
"Community Council Of Idaho, Inc.","H8DCS36168","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Caldwell","ID","83607-8114","Canyon","ID-01","2020","$587,615"
"Community Health & Emergency Services, Inc","H8DCS36124","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Carbondale","IL","62901-5334","Jackson","IL-12","2020","$878,615"
"Community Health & Wellness Partners Of Logan County","H8DCS36703","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Bellefontaine","OH","43311-2033","Logan","OH-04","2020","$644,345"
"Community Health Alliance","H8DCS36421","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Reno","NV","89502-4113","Washoe","NV-02","2020","$1,147,370"
"Community Health Alliance Of Pasadena","H8DCS35624","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Pasadena","CA","91103-1620","Los Angeles","CA-27","2020","$856,310"
"Community Health And Dental Care, Inc.","H8DCS36640","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Pottstown","PA","19465-7438","Chester","PA-06","2020","$672,005"
"Community Health And Social Services Center, Inc.","H8DCS35499","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Detroit","MI","48209-3154","Wayne","MI-14","2020","$792,860"
"Community Health And Wellness Center Of Greater Torrington, Incorporated","H8DCS35977","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Torrington","CT","06790-4643","Litchfield","CT-05","2020","$609,680"
"Community Health Association Of Spokane","H8DCS36714","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Spokane","WA","99201-0254","Spokane","WA-05","2020","$2,121,125"
"Community Health Care","H8DCS36720","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Tacoma","WA","98402-3518","Pierce","WA-06","2020","$1,359,215"
"Community Health Care Center, Incorporated","H8DCS35851","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Great Falls","MT","59401-2510","Cascade","MT-00","2020","$503,000"
"Community Health Care Systems Inc","H8DCS36023","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Wrightsville","GA","31096-2017","Johnson","GA-10","2020","$1,014,815"
"Community Health Care, Inc.","H8DCS36055","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Davenport","IA","52801-1014","Scott","IA-02","2020","$1,223,420"
"Community Health Care, Inc.","H8DCS36501","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Bridgeton","NJ","08302-1946","Cumberland","NJ-02","2020","$1,831,475"
"Community Health Center In Cowley County, Inc.","H8DCS36174","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Winfield","KS","67156-2718","Cowley","KS-04","2020","$570,005"
"Community Health Center Of Buffalo, Inc.","H8DCS36577","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Buffalo","NY","14214-1761","Erie","NY-26","2020","$875,375"
"Community Health Center Of Cape Cod, Inc.","H8DCS35481","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Mashpee","MA","02649-6507","Barnstable","MA-09","2020","$720,620"
"Community Health Center Of Central Missouri","H8DCS35942","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Linn","MO","65051-9782","Osage","MO-03","2020","$893,240"
"Community Health Center Of Central Wyoming, Inc.","H8DCS35871","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Casper","WY","82609-3345","Natrona","WY-00","2020","$809,795"
"Community Health Center Of Fort Dodge, Inc","H8DCS36188","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Fort Dodge","IA","50501-3915","Webster","IA-04","2020","$643,415"
"Community Health Center Of Franklin County, Incorporated","H8DCS35486","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Greenfield","MA","01301-3275","Franklin","MA-02","2020","$633,740"
"Community Health Center Of Lubbock, Inc., The","H8DCS36497","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lubbock","TX","79401-2622","Lubbock","TX-19","2020","$1,273,610"
"Community Health Center Of Northeast Oklahoma, Inc.","H8DCS35611","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Afton","OK","74331","Delaware","OK-02","2020","$525,305"
"Community Health Center Of Richmond, Inc.","H8DCS36585","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Staten Island","NY","10302-1701","Richmond","NY-11","2020","$741,515"
"Community Health Center Of Snohomish County","H8DCS36706","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Everett","WA","98208-2619","Snohomish","WA-02","2020","$1,774,595"
"Community Health Center Of Southeast Kansas, Inc.","H8DCS36115","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Pittsburg","KS","66762-2546","Crawford","KS-02","2020","$1,550,270"
"Community Health Center Of The Black Hills, Inc.","H8DCS35922","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Rapid City","SD","57701-1669","Pennington","SD-00","2020","$808,295"
"Community Health Center, Incorporated","H8DCS35970","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Middletown","CT","06457","Middlesex","CT-03","2020","$2,286,920"
"Community Health Centers Inc.","H8DCS35559","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Spencer","OK","73084-9167","Oklahoma","OK-05","2020","$889,880"
"Community Health Centers Of Burlington, Inc.","H8DCS36211","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Burlington","VT","05401-1601","Chittenden","VT-00","2020","$1,014,305"
"Community Health Centers Of Greater Dayton","H8DCS36700","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Dayton","OH","45402-6714","Montgomery","OH-10","2020","$818,705"
"Community Health Centers Of Pinellas, Inc.","H8DCS35987","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Saint Petersburg","FL","33712-2744","Pinellas","FL-13","2020","$1,788,140"
"Community Health Centers Of South Central Texas, Inc.","H8DCS36467","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Gonzales","TX","78629-3910","Gonzales","TX-27","2020","$1,109,135"
"Community Health Centers Of Southeastern Iowa, Inc","H8DCS36093","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","West Burlington","IA","52655-1667","Des Moines","IA-02","2020","$808,490"
"Community Health Centers Of Southern Iowa, Inc.","H8DCS36063","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Leon","IA","50144-1206","Decatur","IA-02","2020","$713,615"
"Community Health Centers Of The Central Coast, Inc.","H8DCS35618","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Nipomo","CA","93444-9123","San Luis Obispo","CA-24","2020","$2,711,975"
"Community Health Centers Of The Rutland Region","H8DCS36210","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Bomoseen","VT","05732-9647","Rutland","VT-00","2020","$1,152,950"
"Community Health Centers Of Western Kentucky, Inc.","H8DCS36347","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Greenville","KY","42345-1124","Muhlenberg","KY-01","2020","$703,670"
"Community Health Centers, Inc.","H8DCS36005","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Winter Garden","FL","34787-3546","Orange","FL-10","2020","$2,162,795"
"Community Health Centers, Inc.","H8DCS35852","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","West Valley City","UT","84119-1119","Salt Lake","UT-04","2020","$2,122,970"
"Community Health Clinic, Inc.","H8DCS36633","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","New Kensington","PA","15068-6409","Westmoreland","PA-14","2020","$574,730"
"Community Health Clinics, Inc.","H8DCS36081","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Nampa","ID","83687-4058","Canyon","ID-01","2020","$1,686,650"
"Community Health Connection, Inc.","H8DCS35607","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Tulsa","OK","74104-1831","Tulsa","OK-01","2020","$958,175"
"Community Health Connections, Inc.","H8DCS35465","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Fitchburg","MA","01420-1914","Worcester","MA-03","2020","$1,010,465"
"Community Health Development Inc","H8DCS36443","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Uvalde","TX","78801-6051","Uvalde","TX-23","2020","$838,910"
"Community Health Foundation Of Puerto Rico Inc.","H8DCS36522","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Bayamón","PR","00961","Bayamo'n","PR-98","2020","$662,465"
"Community Health Improvement Center","H8DCS36184","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Decatur","IL","62521-4665","Macon","IL-13","2020","$850,865"
"Community Health Initiatives Inc.","H8DCS36586","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Brooklyn","NY","11224-2770","Kings","NY-08","2020","$558,620"
"Community Health Net","H8DCS36649","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Erie","PA","16501-1914","Erie","PA-16","2020","$761,780"
"Community Health Of Central Washington","H8DCS36707","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Yakima","WA","98902-3550","Yakima","WA-04","2020","$982,085"
"Community Health Of East Tennessee, Inc.","H8DCS36078","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","La Follette","TN","37766-3073","Campbell","TN-03","2020","$617,810"
"Community Health Partners, Inc.","H8DCS35853","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Livingston","MT","59047-3011","Park","MT-00","2020","$759,005"
"Community Health Partnership Of Illinois","H8DCS36120","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Chicago","IL","60606-1814","Cook","IL-07","2020","$869,390"
"Community Health Programs, Incorporated","H8DCS35477","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Great Barrington","MA","01230-1295","Berkshire","MA-01","2020","$981,530"
"Community Health Project, Inc.","H8DCS36572","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","New York","NY","10011-4401","New York","NY-10","2020","$539,780"
"Community Health Service Agency, Inc. Of Hunt County, The","H8DCS36454","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Greenville","TX","75401-5644","Hunt","TX-04","2020","$1,284,035"
"Community Health Service Inc.","H8DCS36140","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Moorhead","MN","56560-2800","Clay","MN-07","2020","$648,395"
"Community Health Services, Incorporated","H8DCS35959","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hartford","CT","06120-2508","Hartford","CT-01","2020","$900,290"
"Community Health South Florida, Inc.","H8DCS36010","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Cutler Bay","FL","33190-1003","Miami-Dade","FL-26","2020","$3,175,580"
"Community Health Systems Inc","H8DCS35552","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Beloit","WI","53511-3550","Rock","WI-02","2020","$759,530"
"Community Health Systems, Inc.","H8DCS35554","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Moreno Valley","CA","92553-8551","Riverside","CA-41","2020","$1,044,335"
"Community Health Systems, Inc.","H8DCS35833","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Beckley","WV","25801-3503","Raleigh","WV-03","2020","$1,217,360"
"Community Health, Georgia Dept Of","H8DCS36137","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Cordele","GA","31015-1443","Crisp","GA-02","2020","$1,103,705"
"Community Healthcare Network, Inc.","H8DCS36598","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","New York","NY","10010-1600","New York","NY-12","2020","$1,618,535"
"Community Healthnet, Inc","H8DCS35679","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Gary","IN","46402-1703","Lake","IN-01","2020","$939,575"
"Community Medical Centers, Inc.","H8DCS35521","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Stockton","CA","95210-3339","San Joaquin","CA-09","2020","$2,360,780"
"Community Medical Wellness Centers, Usa","H8DCS35767","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Long Beach","CA","90813-5515","Los Angeles","CA-47","2020","$573,890"
"Community Medicine Foundation, Inc.","H8DCS36273","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Rock Hill","SC","29730-5776","York","SC-05","2020","$717,785"
"Community Mental Healthcare Inc","H8DCS36667","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Dover","OH","44622-2058","Tuscarawas","OH-07","2020","$535,295"
"Community Of Hope, Inc.","H8DCS35960","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Washington","DC","20032-2350","District of Columbia","DC-98","2020","$727,100"
"Community Treatment Incorporated","H8DCS35935","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Festus","MO","63028-1952","Jefferson","MO-08","2020","$823,925"
"Compass Community Health","H8DCS36698","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Portsmouth","OH","45662-4526","Scioto","OH-02","2020","$544,490"
"Compass Health, Inc.","H8DCS35945","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Clinton","MO","64735-8804","Henry","MO-04","2020","$1,281,110"
"Complete Care Community Health Center, Inc.","H8DCS35824","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Los Angeles","CA","90033-3110","Los Angeles","CA-34","2020","$804,425"
"Comprehensive Community Action, Inc.","H8DCS36219","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Cranston","RI","02910-2903","Providence","RI-02","2020","$796,160"
"Comprehensive Community Health Centers, Inc.","H8DCS35764","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Glendale","CA","91205-4433","Los Angeles","CA-28","2020","$1,277,405"
"Concilio De Salud Integral De Loiza, Inc.","H8DCS36519","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Loíza","PR","00772","Loiza","PR-98","2020","$739,670"
"Confederated Tribes Of The Colville Reservation, The","H8DCS36711","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Coulee Dam","WA","99116","Okanogan","WA-04","2020","$560,780"
"Connecticut Institute For Communities, Inc.","H8DCS35968","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Danbury","CT","06810-7834","Fairfield","CT-05","2020","$813,650"
"Contra Costa, County Of","H8DCS35572","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Martinez","CA","94553-3156","Contra Costa","CA-05","2020","$936,110"
"Cook Area Health Services, Inc.","H8DCS36076","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Cook","MN","55723-9702","St. Louis","MN-08","2020","$770,135"
"Coos County Family Health Services, Inc.","H8DCS36248","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Berlin","NH","03570-2006","Coos","NH-02","2020","$714,980"
"Copley Professional Services Group, Inc.","H8DCS36215","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Morrisville","VT","05661-5900","Lamoille","VT-00","2020","$760,490"
"Coppertower Family Medical Center Inc","H8DCS35732","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Cloverdale","CA","95425-3204","Sonoma","CA-02","2020","$581,450"
"Cornell Scott-Hill Health Corporation","H8DCS35969","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","New Haven","CT","06519-1233","New Haven","CT-03","2020","$1,169,435"
"Cornerstone Care, Inc.","H8DCS36634","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Greensboro","PA","15338-9507","Greene","PA-14","2020","$829,160"
"Cornerstone Family Healthcare","H8DCS36558","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Cornwall","NY","12518-1370","Orange","NY-18","2020","$1,285,325"
"Corporacion De Salud Asegurada Por Nuestra Organizacin Solidaria, Inc. (S.A.N.O.S.)","H8DCS36524","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Caguas","PR","00725","Caguas","PR-98","2020","$627,380"
"Corporacion De Servicios De Salud Y Medicina Avanzada","H8DCS36521","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Cidra","PR","00739","Cidra","PR-98","2020","$1,071,065"
"Corporacion De Servicios Medico Primario Y Prevencion De Hatillo","H8DCS36545","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hatillo","PR","00659-1847","Hatillo","PR-98","2020","$838,445"
"Costa Salud Community Health Centers Inc.","H8DCS36525","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Rincon","PR","00677-2127","Rincon","PR-98","2020","$743,285"
"Council Of Athabascan Tribal Governments","H8DCS35385","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Fort Yukon","AK","99740","Yukon-Koyukuk","AK-00","2020","$524,450"
"Country Doctor Community Clinic","H8DCS36710","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Seattle","WA","98112-4007","King","WA-07","2020","$925,415"
"County Of Lane","H8DCS35795","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Eugene","OR","97401-2926","Lane","OR-04","2020","$1,102,715"
"County Of Ventura","H8DCS35515","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Ventura","CA","93009-0001","Ventura","CA-26","2020","$2,273,585"
"Covenant Community Care, Inc.","H8DCS35531","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Detroit","MI","48216-2200","Wayne","MI-14","2020","$997,490"
"Covenant House Inc","H8DCS36643","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Philadelphia","PA","19144-1719","Philadelphia","PA-03","2020","$901,505"
"Covered Bridge Healthcare Of St. Joseph County, Inc.","H8DCS35575","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Centreville","MI","49032-9627","St. Joseph","MI-06","2020","$537,470"
"Cowlitz Family Health Center","H8DCS36717","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Longview","WA","98632-2509","Cowlitz","WA-03","2020","$1,003,460"
"Craven County Government","H8DCS36356","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","New Bern","NC","28560-4911","Craven","NC-03","2020","$635,615"
"Creek Valley Health Clinic","H8DCS35437","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Colorado City","AZ","86021","Mohave","AZ-04","2020","$503,000"
"Crescent Community Health Center","H8DCS36050","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Dubuque","IA","52001-3686","Dubuque","IA-01","2020","$691,925"
"Cross Road Health Ministries, Inc.","H8DCS35388","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Glennallen","AK","99588-0005","Valdez-Cordova","AK-00","2020","$557,165"
"Cross Timbers Health Clinics, Inc.","H8DCS36419","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","De Leon","TX","76444-1630","Comanche","TX-11","2020","$833,465"
"Cross Trails Medical Center","H8DCS35939","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Cape Girardeau","MO","63703-5725","Cape Girardeau","MO-08","2020","$781,445"
"Crusaders Central Clinic Association","H8DCS36231","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Rockford","IL","61102-2112","Winnebago","IL-17","2020","$1,616,360"
"Cumberland Family Medical Center, Inc.","H8DCS36360","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Burkesville","KY","42717-7915","Cumberland","KY-01","2020","$1,982,600"
"Curtis V Cooper Primary Health Care, Inc.","H8DCS36134","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Savannah","GA","31408-3524","Chatham","GA-01","2020","$1,179,380"
